algorithm,model_variant,population,feature_set,transformed_feature,coefficient,absolute_coefficient_rank,selection_reason
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1430.0,3.213659784062793,14,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1440.0,2.993344913093595,20,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1450.0,2.864584842560708,25,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1460.0,2.9512981394358606,21,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1480.0,2.3510971468079886,47,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1490.0,2.70971853917381,33,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1500.0,3.138747823549576,16,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1510.0,3.3818268370690263,9,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1520.0,3.4616770118922573,8,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1530.0,3.4997913073584423,7,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1540.0,3.59244528186003,6,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1550.0,3.281655761131181,12,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1560.0,2.3508596421720664,48,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1610.0,-2.782118094900142,29,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1620.0,-2.9311325006647677,23,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1630.0,-3.0310022338934504,18,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1640.0,-3.2421701694571987,13,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1650.0,-2.936593531950393,22,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1670.0,-2.7929839341460396,28,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1680.0,-2.718774533441656,31,top_negative
