algorithm,population,baseline_feature_set,extension_feature_set,feature_block,comparison_type,split_protocol,evaluation_split,n_test,baseline_roc_auc,extension_roc_auc,delta_roc_auc,baseline_pr_auc,extension_pr_auc,delta_pr_auc,baseline_log_loss,extension_log_loss,delta_log_loss,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_log_loss_ci_low,delta_log_loss_ci_high,bootstrap_resamples
CatBoost,Ming,M1,M2,geography,nested,primary,test,33812,0.7160943612148125,0.8169284087609846,0.10083404754617209,0.43712059403232806,0.6762010345200384,0.23908044048771038,0.3879644626680221,0.3214268961695832,-0.0665375664984389,0.09606279442162126,0.10628956408305257,0.23108227293743466,0.2469029463584967,-0.06986193782311013,-0.06280678202325204,500
CatBoost,Ming,M2,M3,family_structure,nested,primary,test,33812,0.8169284087609846,0.9114348452060844,0.09450643644509982,0.6762010345200384,0.7921249995914902,0.11592396507145175,0.3214268961695832,0.3328951790370162,0.01146828286743301,0.08953809985354384,0.09939169563644192,0.10930293922690906,0.12187164924273754,0.007129846499937151,0.016255209305094484,500
CatBoost,Ming,M3,M4,family_capital,nested,primary,test,33812,0.9114348452060844,0.9123678251265788,0.0009329799204943479,0.7921249995914902,0.793525939968536,0.0014009403770458562,0.3328951790370162,0.3311809044074465,-0.0017142746295696898,0.00041406501662180075,0.0014007194380109749,0.0005868640097298844,0.002158627734287932,-0.002147749001588399,-0.001276088663264269,500
CatBoost,Ming,M4,M6,documentation_addition,nested,primary,test,33812,0.9123678251265788,0.9170144130551858,0.00464658792860706,0.793525939968536,0.8015169579763533,0.007991018007817208,0.3311809044074465,0.3219158050897358,-0.009265099317710745,0.0035543984054081713,0.005768055847639835,0.006269301484954667,0.009701350013532683,-0.010614448483244143,-0.00796619567692488,500
CatBoost,Song,M0,M0b,safe_birth_cohort,nested,primary,test,12508,0.5,0.526373629045924,0.026373629045923996,0.48273105212663897,0.50696708158673,0.024236029460091013,0.6925506288244837,0.6871383425496189,-0.005412286274864786,0.02193606322758536,0.030996835856166992,0.019553793271116823,0.029040094857170788,-0.007488784809793056,-0.0032992583544424756,500
CatBoost,Song,M0,M5,documentation_only,benchmark,primary,test,12508,0.5,0.9150491247344867,0.41504912473448674,0.48273105212663897,0.8971840465657248,0.41445299443908584,0.6925506288244837,0.3962996886468118,-0.2962509401776719,0.41029986540677715,0.4197636532895985,0.40852150359857503,0.42015044678546926,-0.3024797174245617,-0.28997935253392565,500
CatBoost,Song,M0b,M1,personal,nested,primary,test,12508,0.526373629045924,0.569203775368058,0.042830146322134,0.50696708158673,0.5319542640985114,0.024987182511781447,0.6871383425496189,0.6583187773392429,-0.028819565210375986,0.038326670013152105,0.0468328717837005,0.02233317292874316,0.027454658655184552,-0.03191513818014639,-0.02555309320490946,500
CatBoost,Song,M1,M2,geography,nested,primary,test,12508,0.569203775368058,0.8719199833307139,0.30271620796265586,0.5319542640985114,0.8466230223909261,0.3146687582924147,0.6583187773392429,0.44046918450332484,-0.2178495928359181,0.2951850756005373,0.3100167870360463,0.3053797013577185,0.3226320822849052,-0.22716586000266403,-0.20793516289369013,500
CatBoost,Song,M2,M3,family_structure,nested,primary,test,12508,0.8719199833307139,0.91636355887212,0.0444435755414061,0.8466230223909261,0.9090734989188977,0.06245047652797153,0.44046918450332484,0.3634397467829549,-0.07702943772036996,0.04067412089481696,0.04817219050086189,0.05703958703164863,0.06857007657223291,-0.08324463705121067,-0.07099585875266103,500
CatBoost,Song,M3,M4,family_capital,nested,primary,test,12508,0.91636355887212,0.9185493676575915,0.002185808785471588,0.9090734989188977,0.9117028447079614,0.0026293457890637084,0.3634397467829549,0.3578780719372017,-0.005561674845753151,0.0012355270049090735,0.003012381526990673,0.0012275078391834598,0.003920662505151378,-0.007458977857313097,-0.0034969870883989024,500
