algorithm,model_variant,analysis,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score
LogisticRegression,balanced,temporal_sensitivity,Global,M4,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.6981337209112648,0.3797472798295767,0.5685008193018343,0.25176233635448136,0.6112469437652812,0.15852885225110971,0.4288264743474073,0.13085172333500822
LogisticRegression,balanced,temporal_sensitivity,Global,M4,temporal,test,validation_balanced_accuracy,0.31,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.6981337209112648,0.3797472798295767,0.6134494367224768,0.36617405582922824,0.519208381839348,0.2828154724159797,0.4288264743474073,0.13085172333500822
LogisticRegression,balanced,temporal_sensitivity,Global,M5,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.6781583557711972,0.38102347253408453,0.6257520569258092,0.3952569169960474,0.6428571428571429,0.2853519340519975,0.43198601729458325,0.12695136885773958
LogisticRegression,balanced,temporal_sensitivity,Global,M5,temporal,test,validation_balanced_accuracy,0.16,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.6781583557711972,0.38102347253408453,0.6878244089273422,0.4969029593943565,0.5432656132430399,0.4578313253012048,0.43198601729458325,0.12695136885773958
LogisticRegression,balanced,temporal_sensitivity,Global,M6,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.7395109962274168,0.4286362287338167,0.5703251674447587,0.25437693099897013,0.6767123287671233,0.1566265060240964,0.4200067229638238,0.12719629026307913
LogisticRegression,balanced,temporal_sensitivity,Global,M6,temporal,test,validation_balanced_accuracy,0.24000000000000002,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.7395109962274168,0.4286362287338167,0.6439855793261549,0.4239940387481371,0.5140018066847335,0.3608116677235257,0.4200067229638238,0.12719629026307913
LogisticRegression,balanced,temporal_sensitivity,Qing,M0,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5,0.2048540393754243,0.5,0.34004789406958724,0.2048540393754243,1.0,0.6931471805599453,0.25
LogisticRegression,balanced,temporal_sensitivity,Qing,M0,temporal,test,validation_balanced_accuracy,0.0,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5,0.2048540393754243,0.5,0.34004789406958724,0.2048540393754243,1.0,0.6931471805599453,0.25
LogisticRegression,balanced,temporal_sensitivity,Qing,M0b,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5,0.2048540393754243,0.5,0.0,0.0,0.0,0.6859007537217069,0.24637697147526072
LogisticRegression,balanced,temporal_sensitivity,Qing,M0b,temporal,test,validation_balanced_accuracy,0.0,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5,0.2048540393754243,0.5,0.34004789406958724,0.2048540393754243,1.0,0.6859007537217069,0.24637697147526072
