algorithm,model_variant,analysis,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score
LogisticRegression,balanced,family_group_robustness,Global,M5,family,test,validation_balanced_accuracy,0.4,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.8223892181978222,0.6286513829168304,0.8030738391205201,0.7303989368914924,0.6625175272441023,0.8137785163922042,0.4973231091414915,0.162113523644907
LogisticRegression,balanced,family_group_robustness,Global,M6,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.9138659768740387,0.8430934334511574,0.8461188118438792,0.7888641104956478,0.7529524855808843,0.8283728659918417,0.3702421860552362,0.11503329924179256
LogisticRegression,balanced,family_group_robustness,Global,M6,family,test,validation_balanced_accuracy,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.9138659768740387,0.8430934334511574,0.8461188118438792,0.7888641104956478,0.7529524855808843,0.8283728659918417,0.3702421860552362,0.11503329924179256
LogisticRegression,balanced,family_group_robustness,Ming,M0,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.5,0.19926057379473527,0.5,0.33230571928872665,0.19926057379473527,1.0,0.6931471805599452,0.25
LogisticRegression,balanced,family_group_robustness,Ming,M0,family,test,validation_balanced_accuracy,0.0,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.5,0.19926057379473527,0.5,0.33230571928872665,0.19926057379473527,1.0,0.6931471805599452,0.25
LogisticRegression,balanced,family_group_robustness,Ming,M0b,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.6375842770710788,0.41048971344044693,0.636878441034973,0.4286997529755221,0.880129091747349,0.2833605462371976,0.5816394058886293,0.19518981900765262
LogisticRegression,balanced,family_group_robustness,Ming,M0b,family,test,validation_balanced_accuracy,0.43,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.6375842770710788,0.41048971344044693,0.636878441034973,0.4286997529755221,0.880129091747349,0.2833605462371976,0.5816394058886293,0.19518981900765262
LogisticRegression,balanced,family_group_robustness,Ming,M1,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.718387831412616,0.44197816976610316,0.636969755947286,0.42898942156200764,0.886924150767799,0.2829152441739647,0.5351596574673851,0.18825383429820453
LogisticRegression,balanced,family_group_robustness,Ming,M1,family,test,validation_balanced_accuracy,0.49,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.718387831412616,0.44197816976610316,0.636969755947286,0.42898942156200764,0.886924150767799,0.2829152441739647,0.5351596574673851,0.18825383429820453
LogisticRegression,balanced,family_group_robustness,Ming,M2,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8134888420167636,0.6714673811129789,0.734795435214959,0.5707056101792944,0.55630725863284,0.5858690811934095,0.44451405474507333,0.14657175662231595
LogisticRegression,balanced,family_group_robustness,Ming,M2,family,test,validation_balanced_accuracy,0.51,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8134888420167636,0.6714673811129789,0.7352718134068614,0.5759643916913947,0.5757081417766573,0.5762208698233635,0.44451405474507333,0.14657175662231595
LogisticRegression,balanced,family_group_robustness,Ming,M3,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8944588959834657,0.770233761866288,0.8009375840177377,0.6966731898238747,0.7369990062934747,0.6605313937954579,0.3591041010296757,0.11345833256071115
LogisticRegression,balanced,family_group_robustness,Ming,M3,family,test,validation_balanced_accuracy,0.52,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8944588959834657,0.770233761866288,0.8006345479013495,0.6983676366217175,0.7449528936742934,0.65726584533175,0.3591041010296757,0.11345833256071115
LogisticRegression,balanced,family_group_robustness,Ming,M4,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8941513612849367,0.7700713597495032,0.8024780153249067,0.698640837369161,0.7373454245671888,0.6637969422591657,0.359832533991417,0.11340813340964097
LogisticRegression,balanced,family_group_robustness,Ming,M4,family,test,validation_balanced_accuracy,0.52,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8941513612849367,0.7700713597495032,0.8021212868076609,0.6995917085427136,0.7426237706284381,0.6612735639008461,0.359832533991417,0.11340813340964097
LogisticRegression,balanced,family_group_robustness,Ming,M5,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.7771381381235339,0.4479757442564884,0.6788770777973611,0.4504998672918694,0.3208771819270275,0.755826035327297,0.5404727899538989,0.1806756577852792
LogisticRegression,balanced,family_group_robustness,Ming,M5,family,test,validation_balanced_accuracy,0.67,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.7771381381235339,0.4479757442564884,0.6795233165295436,0.5072225269701957,0.6603189716734111,0.41175597446934836,0.5404727899538989,0.1806756577852792
LogisticRegression,balanced,family_group_robustness,Ming,M6,family,test,fixed_0.5,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8990004874204154,0.7756795491914144,0.8013695575578946,0.6954966166290737,0.7305555555555555,0.6636485082380882,0.3524979942872152,0.11297106432659323
LogisticRegression,balanced,family_group_robustness,Ming,M6,family,test,validation_balanced_accuracy,0.5,157783,33810,33810,0.19926734819340486,0.19926057379473527,0.19926057379473527,,0.8990004874204154,0.7756795491914144,0.8013695575578946,0.6954966166290737,0.7305555555555555,0.6636485082380882,0.3524979942872152,0.11297106432659323
LogisticRegression,balanced,family_group_robustness,Song,M0,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.5,0.4827282904205981,0.5,0.6511351992665696,0.4827282904205981,1.0,0.6931471805599451,0.25
LogisticRegression,balanced,family_group_robustness,Song,M0,family,test,validation_balanced_accuracy,0.0,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.5,0.4827282904205981,0.5,0.6511351992665696,0.4827282904205981,1.0,0.6931471805599451,0.25
LogisticRegression,balanced,family_group_robustness,Song,M0b,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.5355833851193263,0.5138824157607257,0.5358094092458591,0.193631669535284,0.7219251336898396,0.11181050190491966,0.684469316402041,0.2456591116012522
LogisticRegression,balanced,family_group_robustness,Song,M0b,family,test,validation_balanced_accuracy,0.53,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.5355833851193263,0.5138824157607257,0.5351632803462484,0.18902175479037603,0.7256637168141593,0.10866324333278118,0.684469316402041,0.2456591116012522
LogisticRegression,balanced,family_group_robustness,Song,M1,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.5722777375863219,0.5343159132259262,0.5432657728518214,0.6679419376617531,0.5057510437079322,0.9832698360112638,0.6617684659784624,0.23680202709587053
LogisticRegression,balanced,family_group_robustness,Song,M1,family,test,validation_balanced_accuracy,0.18000000000000002,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.5722777375863219,0.5343159132259262,0.5452925130397894,0.6709569110240626,0.5066339896898504,0.9930429021036938,0.6617684659784624,0.23680202709587053
LogisticRegression,balanced,family_group_robustness,Song,M2,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8570336457409944,0.8208951431918261,0.7824436355055095,0.7921657250470809,0.7264437689969605,0.8709623985423224,0.46578261644977215,0.15118970896506262
LogisticRegression,balanced,family_group_robustness,Song,M2,family,test,validation_balanced_accuracy,0.55,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8570336457409944,0.8208951431918261,0.7875487285304286,0.791572727979476,0.7458247875769118,0.8432996521451052,0.46578261644977215,0.15118970896506262
LogisticRegression,balanced,family_group_robustness,Song,M3,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8923118714032058,0.8734086390929445,0.8186364433292066,0.8168515838559254,0.7936259959381347,0.841477555077025,0.414842514974265,0.12944380316079213
LogisticRegression,balanced,family_group_robustness,Song,M3,family,test,validation_balanced_accuracy,0.53,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8923118714032058,0.8734086390929445,0.8194031252579004,0.8157316179464214,0.8022101217168481,0.8297167467285075,0.414842514974265,0.12944380316079213
LogisticRegression,balanced,family_group_robustness,Song,M4,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8939183787881158,0.8760889882149866,0.8248865724794487,0.8234822359451439,0.7981965174129353,0.8504223952294185,0.41184787673365875,0.1280070931146437
LogisticRegression,balanced,family_group_robustness,Song,M4,family,test,validation_balanced_accuracy,0.5700000000000001,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8939183787881158,0.8760889882149866,0.8279321624445409,0.8215353938185443,0.8241373562260377,0.8189498095080338,0.41184787673365875,0.1280070931146437
LogisticRegression,balanced,family_group_robustness,Song,M5,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8544561077764565,0.8042343019643234,0.7911250027622467,0.7909901305316778,0.7612992186303049,0.823090939208216,0.4685259506436924,0.1481492022456764
LogisticRegression,balanced,family_group_robustness,Song,M5,family,test,validation_balanced_accuracy,0.45,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8544561077764565,0.8042343019643234,0.8171725485389181,0.8263008796779484,0.7512538972482039,0.9180056319363923,0.4685259506436924,0.1481492022456764
LogisticRegression,balanced,family_group_robustness,Song,M6,family,test,fixed_0.5,0.5,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8973218893650436,0.8856255618090149,0.8272604915639382,0.825422365245374,0.8024401689347724,0.8497598144773895,0.4071027653402988,0.12554943959821177
LogisticRegression,balanced,family_group_robustness,Song,M6,family,test,validation_balanced_accuracy,0.59,58361,12506,12506,0.48273675913709496,0.4827282904205981,0.4827282904205981,,0.8973218893650436,0.8856255618090149,0.8322047661310925,0.8240545776130717,0.8382453735435229,0.8103362597316548,0.4071027653402988,0.12554943959821177
