algorithm,model_variant,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score,selection_validation_roc_auc,selection_validation_log_loss
CatBoost,unweighted,Song,M4,primary,test,validation_balanced_accuracy,0.44,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,488.0,0.9185493676575915,0.9117028447079614,0.8495234969868832,0.8471862871927555,0.8276461295418641,0.8676714143756211,0.3578780719372017,0.1098422708512462,0.92100827109346,0.35157739253391906
CatBoost,balanced,Song,M5,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,16.0,0.9150491247344867,0.8971840465657248,0.8388262283231445,0.8388580491673275,0.8047778454047474,0.8759523020867837,0.3962996886468118,0.12049964205691012,0.9159860437014415,0.3935488859418892
CatBoost,balanced,Song,M5,primary,test,validation_balanced_accuracy,0.46,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,16.0,0.9150491247344867,0.8971840465657248,0.8390581955702499,0.8393478949034504,0.8037284025462261,0.8782709506459092,0.3962996886468118,0.12049964205691012,0.9159860437014415,0.3935488859418892
CatBoost,balanced,Song,M6,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,484.0,0.9396095593441436,0.9412052728371534,0.8724861298330562,0.8671293586420269,0.8756966728593143,0.8587280556475654,0.3052998502331488,0.09272659494506104,0.9432600053739929,0.2983301330787107
CatBoost,balanced,Song,M6,primary,test,validation_balanced_accuracy,0.53,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,484.0,0.9396095593441436,0.9412052728371534,0.8727724924012936,0.8661243856973394,0.8867106176266482,0.8464723418350447,0.3052998502331488,0.09272659494506104,0.9432600053739929,0.2983301330787107
CatBoost,constant_unweighted,Ming,M0,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,,0.5,0.19927836271146337,0.5,0.0,0.0,0.0,0.49940039367614536,0.15956649708632822,0.5,0.49937565100724063
CatBoost,constant_unweighted,Ming,M0,primary,test,validation_balanced_accuracy,0.0,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,,0.5,0.19927836271146337,0.5,0.3323304562268804,0.19927836271146337,1.0,0.49940039367614536,0.15956649708632822,0.5,0.49937565100724063
CatBoost,balanced,Ming,M0b,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,121.0,0.6353996246953783,0.40572419281214595,0.6347603524024488,0.42368866328257193,0.8829337094499294,0.27871772039180764,0.581138868190644,0.1948496509070954,0.6326693225060184,0.582412004320378
CatBoost,balanced,Ming,M0b,primary,test,validation_balanced_accuracy,0.43,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,121.0,0.6353996246953783,0.40572419281214595,0.6347603524024488,0.42368866328257193,0.8829337094499294,0.27871772039180764,0.581138868190644,0.1948496509070954,0.6326693225060184,0.582412004320378
CatBoost,unweighted,Ming,M1,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,79.0,0.7160943612148125,0.43712059403232806,0.6347550022471748,0.4239043824701195,0.9096238397655105,0.2763431285247848,0.3879644626680221,0.12175673192062791,0.7148212727022345,0.3892571253778697
