population,comparison,metric,mean_delta,std_delta,min_delta,max_delta,median_delta,n_positive_seeds,n_seeds,practical_magnitude
Song,D6i - D5,brier_score,-0.0002560255824925556,0.0001700722099336353,-0.0004747084541614627,-8.470982195422916e-05,-0.00025691948906120254,0,5,not_flagged
Ming,F3 - F2,roc_auc,0.0004962312870370411,0.0007135954107596391,-0.00031855898917876324,0.0011889459301686056,0.0005956597566999511,3,5,small
Ming,F3 - F2,pr_auc,0.0006513633148014231,0.0007004277158270952,-0.0003657975374129485,0.001562446239755877,0.0005755950355059714,4,5,not_flagged
Ming,F3 - F2,log_loss,-0.0007442099770262001,0.08837018175078414,-0.08939718153942083,0.08832300166201737,-0.001662088135594486,2,5,not_flagged
Ming,F3 - F2,brier_score,-0.0002582040000312591,0.03348748841064815,-0.0338836262067535,0.03355635519987382,-0.0005795822246505988,2,5,not_flagged
Ming,F4 - F2,roc_auc,4.857348963338559e-06,0.00043967399213413853,-0.0003937133219723554,0.0006320419089064222,-9.376750106504517e-05,2,5,small
Ming,F4 - F2,pr_auc,0.00011776205343203561,0.0007646408664795959,-0.001107433511146949,0.0006824698668925766,0.0005252017798400566,3,5,not_flagged
Ming,F4 - F2,log_loss,-0.0004925268962592821,0.08868423199556771,-0.08956227028765265,0.08886616430987662,-0.00133644700465807,2,5,not_flagged
Ming,F4 - F2,brier_score,-0.00019787400076169416,0.03359263360217017,-0.03392424371149878,0.03372149018642136,-0.0005829849400777742,2,5,not_flagged
Ming,D6 - D5,roc_auc,0.0005171824073825215,0.0002592471709587658,0.00021639349848268097,0.0008614764108693107,0.0005352128691932245,5,5,small
Ming,D6 - D5,pr_auc,0.0003441594897259259,0.0004860749512826368,-0.0001858870897439857,0.0008199668031989571,0.0004382642491168598,3,5,not_flagged
Ming,D6 - D5,log_loss,0.033767976996429125,0.0474384196349988,-0.0019194719436250174,0.08641010953311559,0.00022278790783314406,3,5,not_flagged
Ming,D6 - D5,brier_score,0.012652274277523249,0.01768753426689436,-0.0006514423183458934,0.032271358810313025,0.00014141951591517543,3,5,not_flagged
Ming,D6i - D5,roc_auc,0.00024136381334336488,0.0004521023086002281,-0.000342193409735736,0.0006845869021225859,0.0002660934808512705,3,5,small
Ming,D6i - D5,pr_auc,0.00029254029700049867,0.0004318062596957611,-0.00026344522456167585,0.000756974741502936,0.00019679960537966057,4,5,not_flagged
Ming,D6i - D5,log_loss,0.017163453637995707,0.07152324021002834,-0.0851789403893547,0.08634660557439253,-0.00016578656059851316,2,5,not_flagged
Ming,D6i - D5,brier_score,0.006467382334695779,0.02671015941698031,-0.0317778314083694,0.03227687510990529,2.005463654973505e-05,4,5,not_flagged
