model_id,population,feature_group,mean_abs_shap,signed_mean_shap,n_features,sample_n,group_share_of_total_abs_shap,rank
D6_UPPER,Global,administrative_geography,0.1438621146896657,-0.0215803247469693,3,10000,0.0347199185998035,10
D6_UPPER,Global,family_full_record_capital,0.1189258767357203,0.005534868627153,10,10000,0.0287017660527347,11
D6_UPPER,Global,regional_density,0.0826784241261388,0.0068247029387486,2,10000,0.0199537464176159,12
D6_UPPER,Global,address_observability,0.0125385365046123,-0.0096961170180131,2,10000,0.003026070955094,13
H_STRUCT,Song,administrative_geography,0.7210993554493148,0.0353996531241521,3,10000,0.2334562924790244,1
H_STRUCT,Song,family_topology,0.6309638904553427,-0.0204201422265815,7,10000,0.2042748886692069,2
H_STRUCT,Song,continuous_geography,0.5822828387021435,-0.0642792138668905,3,10000,0.188514372770257,3
H_STRUCT,Song,regional_density,0.3878404200380062,0.0185392772290282,2,10000,0.1255635382993276,4
H_STRUCT,Song,personal_gender,0.2581946635520832,0.0344364235952172,1,10000,0.0835906570089498,5
H_STRUCT,Song,family_observability,0.235799275579516,-3.1312473268188664e-05,5,10000,0.0763401384705618,6
H_STRUCT,Song,personal_birth_cohort,0.1669811308448286,-0.0052604006639239,2,10000,0.0540602282145967,7
H_STRUCT,Song,address_observability,0.1056365374026851,0.0248621945898311,2,10000,0.0341998840880757,8
H_STRUCT,Song,historical_regime,0.0,0.0,1,10000,0.0,9
D5_MAIN,Song,supervised_local_prior,0.7983119539632775,0.0640584595606281,1,10000,0.2112761224972134,1
D5_MAIN,Song,documentation_general,0.6428153462541901,-0.1063555956347165,6,10000,0.1701233874352535,2
D5_MAIN,Song,family_topology,0.6073096553966727,0.0184777693782601,7,10000,0.160726678975961,3
D5_MAIN,Song,continuous_geography,0.4974257435179827,-0.0440565560949897,3,10000,0.1316455074974452,4
D5_MAIN,Song,address_record_semantics,0.2849881199945199,-0.0082625666856538,1,10000,0.0754231283288318,5
D5_MAIN,Song,personal_gender,0.2357961510744225,0.0273158291821046,1,10000,0.0624042972818402,6
D5_MAIN,Song,family_observability,0.223211941838686,0.0680494990150359,5,10000,0.0590738411627498,7
D5_MAIN,Song,administrative_geography,0.2107268805709637,0.0048684806984293,3,10000,0.0557696249090798,8
D5_MAIN,Song,personal_birth_cohort,0.135605268300681,-0.0077470384392237,2,10000,0.0358884207289223,9
D5_MAIN,Song,address_observability,0.0783014487005295,0.014879852885474,2,10000,0.0207227592988333,10
D5_MAIN,Song,regional_density,0.0640317482525972,-0.0022051710371477,2,10000,0.0169462318838692,11
D5_MAIN,Song,historical_regime,0.0,0.0,1,10000,0.0,12
D6_UPPER,Song,supervised_local_prior,0.8147043549008286,0.0729953171083592,1,10000,0.2125035589838417,1
D6_UPPER,Song,documentation_general,0.6606056539421301,-0.144331028183549,6,10000,0.1723091962171221,2
D6_UPPER,Song,family_topology,0.5476447034110888,0.0375953782030197,7,10000,0.1428450060852724,3
D6_UPPER,Song,continuous_geography,0.5475551274285897,-0.037058479584768,3,10000,0.1428216415175418,4
D6_UPPER,Song,family_full_record_capital,0.2387175718356816,0.0370663388781784,10,10000,0.0622659413834092,5
D6_UPPER,Song,personal_gender,0.2188524243407952,0.0107576389315714,1,10000,0.0570844120138796,6
D6_UPPER,Song,administrative_geography,0.2031944073610148,-0.0303488202501257,3,10000,0.0530002502994896,7
D6_UPPER,Song,address_record_semantics,0.1981911163689862,0.0077938486303611,1,10000,0.0516952159811604,8
D6_UPPER,Song,family_observability,0.1437432385334177,0.0476681385144601,5,10000,0.037493293836551,9
D6_UPPER,Song,personal_birth_cohort,0.1290381658477367,0.0195722453129176,2,10000,0.0336576935208958,10
D6_UPPER,Song,regional_density,0.1212763424220482,0.0138189117438022,2,10000,0.0316331368921741,11
D6_UPPER,Song,address_observability,0.0103155304597672,-0.0044729889790996,2,10000,0.0026906532686616,12
D6_UPPER,Song,historical_regime,0.0,0.0,1,10000,0.0,13
H_STRUCT,Ming,personal_gender,1.4887941573886188,-0.0418623278960231,1,10000,0.3429726147778661,1
H_STRUCT,Ming,family_topology,1.1288869107303243,-0.0491487483371108,7,10000,0.2600609987889833,2
H_STRUCT,Ming,family_observability,0.518157557709239,-0.0018554845300576,5,10000,0.1193676449846936,3
H_STRUCT,Ming,personal_birth_cohort,0.3448315206735421,0.028291237684404,2,10000,0.0794386300592938,4
H_STRUCT,Ming,continuous_geography,0.2870086226427897,0.0313058228353208,3,10000,0.0661180038107153,5
H_STRUCT,Ming,administrative_geography,0.2203684494065663,0.0027168844032586,3,10000,0.0507661471751633,6
H_STRUCT,Ming,regional_density,0.2079241412915689,0.0398292868631234,2,10000,0.0478993593978736,7
H_STRUCT,Ming,address_observability,0.1448829627477107,-0.0017004971006926,2,10000,0.0333766010054106,8
H_STRUCT,Ming,historical_regime,0.0,0.0,1,10000,0.0,9
D5_MAIN,Ming,personal_gender,1.4459874996358466,0.0113023509982799,1,10000,0.3194756200876321,1
D5_MAIN,Ming,family_topology,0.930208812971898,-0.0372395626925894,7,10000,0.2055197831309178,2
D5_MAIN,Ming,address_record_semantics,0.6319184074439439,-0.0561561729184059,1,10000,0.1396156779458912,3
D5_MAIN,Ming,family_observability,0.5674482184589332,0.0538242681301492,5,10000,0.1253716726496213,4
D5_MAIN,Ming,documentation_general,0.2254304431832579,-0.0181445075510786,6,10000,0.0498064683413502,5
D5_MAIN,Ming,personal_birth_cohort,0.2235171071187762,0.0210214647356365,2,10000,0.0493837370066808,6
D5_MAIN,Ming,administrative_geography,0.1541871677139584,0.0039930179365981,3,10000,0.0340660213365453,7
D5_MAIN,Ming,supervised_local_prior,0.1409172759464282,-0.0170394562129235,1,10000,0.0311341793240831,8
